comuna_gadm,personas,tasa_enlace
Alhué,7,0.0
Buin,217,0.004608294930875576
CaleradeTango,104,0.019230769230769232
Cerrillos,198,0.08080808080808081
CerroNavia,303,0.1419141914191419
Colina,350,0.011428571428571429
Conchalí,297,0.12457912457912458
Curacaví,18,0.05555555555555555
ElBosque,238,0.07983193277310924
ElMonte,59,0.01694915254237288
EstaciónCentral,318,0.08490566037735849
Huechuraba,227,0.0881057268722467
Independencia,182,0.1043956043956044
IsladeMaipo,101,0.0
LaCisterna,206,0.06796116504854369
LaFlorida,883,0.11098527746319366
LaGranja,188,0.06914893617021277
LaPintana,322,0.09937888198757763
LaReina,217,0.07373271889400922
Lampa,249,0.020080321285140562
LasCondes,1096,0.0948905109489051
LoBarnechea,378,0.06349206349206349
LoEspejo,136,0.029411764705882353
LoPrado,115,0.1565217391304348
Macul,350,0.09428571428571429
Maipú,1177,0.11045029736618521
Melipilla,22,0.09090909090909091
PadreHurtado,175,0.05142857142857143
Paine,163,0.012269938650306749
PedroAguirreCerda,205,0.07804878048780488
Peñaflor,180,0.027777777777777776
Peñalolén,590,0.11016949152542373
Pirque,109,0.05504587155963303
Providencia,830,0.13253012048192772
Pudahuel,574,0.09233449477351917
PuenteAlto,1164,0.1013745704467354
Quilicura,569,0.07908611599297012
QuintaNormal,237,0.10126582278481013
Recoleta,289,0.1314878892733564
Renca,268,0.07462686567164178
SanBernardo,620,0.04838709677419355
SanJoaquín,223,0.08968609865470852
SanJosédeMaipo,42,0.023809523809523808
SanMiguel,337,0.09198813056379822
SanPedro,1,0.0
SanRamón,145,0.06896551724137931
Santiago,1222,0.1497545008183306
Talagante,188,0.010638297872340425
Tiltil,28,0.0
Vitacura,340,0.07941176470588235
Ñuñoa,681,0.1145374449339207
