h3,personas,tasa_enlace
87b2c5082ffffff,63,0.1111111111111111
87b2c5084ffffff,83,0.08433734939759036
87b2c5086ffffff,81,0.08641975308641975
87b2c5090ffffff,165,0.09696969696969697
87b2c5091ffffff,120,0.058333333333333334
87b2c5092ffffff,112,0.09821428571428571
87b2c5093ffffff,148,0.13513513513513514
87b2c5094ffffff,108,0.08333333333333333
87b2c5095ffffff,103,0.10679611650485436
87b2c5096ffffff,109,0.07339449541284404
87b2c5098ffffff,101,0.10891089108910891
87b2c509affffff,84,0.11904761904761904
87b2c509bffffff,123,0.12195121951219512
87b2c509cffffff,84,0.10714285714285714
87b2c509effffff,97,0.15463917525773196
87b2c50b0ffffff,98,0.11224489795918367
87b2c50b1ffffff,79,0.17721518987341772
87b2c50b2ffffff,147,0.10884353741496598
87b2c50b3ffffff,120,0.14166666666666666
87b2c50b4ffffff,103,0.05825242718446602
87b2c50b6ffffff,254,0.14566929133858267
87b2c5180ffffff,90,0.044444444444444446
87b2c5182ffffff,56,0.10714285714285714
87b2c5184ffffff,50,0.14
87b2c5191ffffff,57,0.03508771929824561
87b2c5193ffffff,50,0.16
87b2c5198ffffff,84,0.09523809523809523
87b2c5199ffffff,58,0.034482758620689655
87b2c519affffff,212,0.10849056603773585
87b2c519cffffff,104,0.125
87b2c519dffffff,71,0.08450704225352113
87b2c519effffff,191,0.12041884816753927
87b2c5408ffffff,72,0.09722222222222222
87b2c5409ffffff,96,0.11458333333333333
87b2c540cffffff,96,0.11458333333333333
87b2c540dffffff,122,0.11475409836065574
87b2c5428ffffff,157,0.12101910828025478
87b2c5429ffffff,75,0.13333333333333333
87b2c542affffff,68,0.058823529411764705
87b2c542bffffff,100,0.16
87b2c542cffffff,70,0.14285714285714285
87b2c542dffffff,111,0.0990990990990991
87b2c5440ffffff,50,0.04
87b2c5441ffffff,112,0.09821428571428571
87b2c5443ffffff,77,0.05194805194805195
87b2c5445ffffff,86,0.10465116279069768
87b2c544effffff,95,0.07368421052631578
87b2c545dffffff,83,0.012048192771084338
87b2c5460ffffff,111,0.07207207207207207
87b2c5461ffffff,89,0.12359550561797752
87b2c5462ffffff,71,0.014084507042253521
87b2c5463ffffff,89,0.10112359550561797
87b2c5464ffffff,144,0.10416666666666667
87b2c5465ffffff,123,0.06504065040650407
87b2c5466ffffff,86,0.05813953488372093
87b2c5468ffffff,130,0.13846153846153847
87b2c5469ffffff,81,0.08641975308641975
87b2c546affffff,61,0.09836065573770492
87b2c546cffffff,85,0.03529411764705882
87b2c546dffffff,78,0.15384615384615385
87b2c546effffff,95,0.05263157894736842
87b2c5474ffffff,50,0.08
87b2c5475ffffff,59,0.01694915254237288
87b2c54e4ffffff,72,0.06944444444444445
87b2c54f1ffffff,69,0.0
87b2c5528ffffff,59,0.15254237288135594
87b2c5529ffffff,124,0.0967741935483871
87b2c552bffffff,64,0.109375
87b2c5540ffffff,129,0.06976744186046512
87b2c5541ffffff,366,0.15300546448087432
87b2c5542ffffff,88,0.09090909090909091
87b2c5543ffffff,160,0.125
87b2c5544ffffff,68,0.08823529411764706
87b2c5545ffffff,140,0.10714285714285714
87b2c5546ffffff,93,0.10752688172043011
87b2c5548ffffff,121,0.12396694214876033
87b2c5549ffffff,75,0.12
87b2c554affffff,137,0.11678832116788321
87b2c554bffffff,122,0.07377049180327869
87b2c554cffffff,468,0.16880341880341881
87b2c554dffffff,171,0.0935672514619883
87b2c554effffff,204,0.11274509803921569
87b2c5550ffffff,89,0.14606741573033707
87b2c5551ffffff,89,0.14606741573033707
87b2c5552ffffff,113,0.1592920353982301
87b2c5553ffffff,144,0.09027777777777778
87b2c5554ffffff,105,0.12380952380952381
87b2c5555ffffff,156,0.16025641025641027
87b2c5556ffffff,129,0.07751937984496124
87b2c5559ffffff,103,0.05825242718446602
87b2c555affffff,112,0.08928571428571429
87b2c555cffffff,154,0.11038961038961038
87b2c5560ffffff,71,0.14084507042253522
87b2c5561ffffff,54,0.09259259259259259
87b2c5562ffffff,137,0.11678832116788321
87b2c5563ffffff,108,0.21296296296296297
87b2c5565ffffff,65,0.09230769230769231
87b2c5566ffffff,53,0.11320754716981132
87b2c5568ffffff,304,0.10526315789473684
87b2c5569ffffff,242,0.11570247933884298
87b2c556affffff,166,0.15060240963855423
87b2c556bffffff,240,0.13333333333333333
87b2c556dffffff,229,0.07860262008733625
87b2c556effffff,60,0.016666666666666666
87b2c5571ffffff,57,0.10526315789473684
87b2c5572ffffff,83,0.04819277108433735
87b2c5573ffffff,106,0.11320754716981132
87b2c5574ffffff,58,0.017241379310344827
87b2c5575ffffff,110,0.1
87b2c5576ffffff,63,0.06349206349206349
87b2c5714ffffff,97,0.15463917525773196
87b2c5730ffffff,151,0.10596026490066225
87b2c5731ffffff,79,0.12658227848101267
87b2c5733ffffff,93,0.06451612903225806
87b2c5734ffffff,125,0.072
87b2c5735ffffff,135,0.11851851851851852
87b2c5736ffffff,154,0.09740259740259741
87b2c5c18ffffff,53,0.0
87b2c5cdaffffff,67,0.05970149253731343
