comuna_gadm,tasa_enlace,usuarios,poblacion,penetracion,pobreza,confiable
Alhué,0.0,7,7691,0.0009101547263034716,0.09612156911785098,False
Buin,0.0184331797235023,217,114827,0.0018897994374145453,0.04447211428019435,True
CaleradeTango,0.0288461538461538,104,29640,0.0035087719298245615,0.0348457722236984,True
Cerrillos,0.1111111111111111,198,89907,0.0022022756848743704,0.05228701117757076,True
CerroNavia,0.1254125412541254,303,141122,0.0021470784144215645,0.06013533802509001,True
Colina,0.0085714285714285,350,191338,0.0018292236774712812,0.05108815662595628,True
Conchalí,0.1111111111111111,297,138230,0.002148592924835419,0.06079947209369204,True
Curacaví,0.0,18,37653,0.000478049557804159,0.05996458962717061,False
ElBosque,0.1008403361344537,238,170902,0.0013926109700296077,0.06198237259124578,True
ElMonte,0.0,59,41392,0.0014253962118283725,0.07076505082053658,False
EstaciónCentral,0.0974842767295597,318,218525,0.0014552110742477977,0.05042396159541926,True
Huechuraba,0.105726872246696,227,116377,0.0019505572406918893,0.04276557208513348,True
Independencia,0.1373626373626373,182,150807,0.0012068405312750735,0.0583398308206952,True
IsladeMaipo,0.0198019801980198,101,41550,0.002430806257521059,0.06421486711607165,True
LaCisterna,0.0825242718446602,206,101315,0.002033262596851404,0.04092312857712747,True
LaFlorida,0.1200453001132502,883,406402,0.0021727255279255517,0.03529903004289563,True
LaGranja,0.1276595744680851,188,120772,0.0015566522041532806,0.06030167960083704,True
LaPintana,0.0962732919254658,322,189224,0.0017016868896123113,0.09293843186111617,True
LaReina,0.1013824884792626,217,99946,0.0021711724331138814,0.01602711747203892,True
Lampa,0.0080321285140562,249,137016,0.0018173060080574532,0.04947952348252533,True
LasCondes,0.083941605839416,1096,339547,0.0032278300205862516,0.009093252219182184,True
LoBarnechea,0.074074074074074,378,128997,0.0029303007046675503,0.009028313249676453,True
LoEspejo,0.125,136,102145,0.0013314405991482696,0.067816947929765,True
LoPrado,0.1043478260869565,115,103390,0.0011122932585356418,0.05326684737949042,True
Macul,0.1,350,137336,0.002548494203996039,0.03474735460906117,True
Maipú,0.1129991503823279,1177,585951,0.0020087003862097686,0.03251240739781768,True
Melipilla,0.0,22,146241,0.0001504366080647698,0.07571759130661093,False
PadreHurtado,0.0571428571428571,175,78847,0.002219488376222304,0.03655584922106305,True
Paine,0.0122699386503067,163,86258,0.0018896797978158548,0.05865172168423877,True
PedroAguirreCerda,0.1560975609756097,205,106065,0.0019327770706642153,0.05473172882253488,True
Peñaflor,0.0166666666666666,180,104684,0.0017194604715142715,0.07328609476344701,True
Peñalolén,0.0779661016949152,590,271089,0.0021764070102438682,0.03241671332301811,True
Pirque,0.055045871559633,109,32041,0.0034018913267376176,0.0274316427999483,True
Providencia,0.1060240963855421,830,162013,0.005123045681519384,0.01321907454820707,True
Pudahuel,0.1010452961672473,574,259195,0.0022145488917610294,0.04366049437083934,True
PuenteAlto,0.1013745704467354,1164,661900,0.001758573802689228,0.05037591991445491,True
Quilicura,0.101933216168717,569,268706,0.002117555990562176,0.05222290357877869,True
QuintaNormal,0.1012658227848101,237,140381,0.0016882626566273214,0.02149306262533348,True
Recoleta,0.1107266435986159,289,195514,0.0014781550170320284,0.05139075533829257,True
Renca,0.085820895522388,268,162638,0.001647831380120267,0.05259981245097571,True
SanBernardo,0.0790322580645161,620,343570,0.0018045813080303868,0.05986493034340202,True
SanJoaquín,0.0941704035874439,223,103586,0.0021528005715058017,0.0483953477287964,True
SanJosédeMaipo,0.0,42,19211,0.0021862474623913384,0.04689598567114111,False
SanMiguel,0.1186943620178041,337,140870,0.0023922765670476324,0.02172713863999223,True
SanPedro,0.0,1,12336,8.106355382619974e-05,0.1409629534176342,False
SanRamón,0.096551724137931,145,84926,0.0017073687681039963,0.0688212635197568,True
Santiago,0.1112929623567921,1222,530538,0.0023033222879416744,0.03864781172163236,True
Talagante,0.0053191489361702,188,84153,0.002234026119092605,0.06260472900926935,True
Tiltil,0.0357142857142857,28,22110,0.0012663952962460425,0.06056984286123209,False
Vitacura,0.0823529411764705,340,97546,0.003485535029627048,0.008910462349418486,True
Ñuñoa,0.105726872246696,681,261138,0.0026078165567630907,0.01488843954831383,True
