radio_m,ventana_min,min_dias,observados,azar,azar_std,exceso,n_repeticiones,mitad
200,1,2,1023,1005.3,9.560857702110203,17.700000000000045,10,1
200,1,3,401,336.0,9.486832980505138,65.0,10,1
200,1,4,125,65.9,4.504442251822083,59.1,10,1
200,1,5,22,9.9,1.374772708486752,12.1,10,1
200,2,2,1163,1099.5,28.405105174950503,63.5,10,1
200,2,3,627,535.4,12.792185114357906,91.60000000000002,10,1
200,2,4,217,155.9,5.855766388782941,61.1,10,1
200,2,5,47,24.0,2.6457513110645907,23.0,10,1
300,1,2,1188,1104.4,33.311259357760704,83.59999999999991,10,1
300,1,3,578,493.3,18.4935123759658,84.69999999999999,10,1
300,1,4,181,122.9,8.275868534480233,58.1,10,1
300,1,5,43,19.8,2.521904042583698,23.2,10,1
200,3,2,1229,1144.8,32.316559222788555,84.20000000000005,10,1
200,3,3,770,680.7,17.094151046483706,89.29999999999995,10,1
200,3,4,310,249.5,13.894243412291294,60.5,10,1
200,3,5,84,54.4,4.7791212581394085,29.6,10,1
400,1,2,1235,1128.5,21.24735277628721,106.5,10,1
400,1,3,705,595.7,10.9,109.29999999999995,10,1
400,1,4,244,174.9,7.381734213584231,69.1,10,1
400,1,5,63,33.4,3.0066592756745814,29.6,10,1
300,2,2,1253,1175.4,15.239422561238992,77.59999999999991,10,1
300,2,3,809,705.0,14.303845636750978,104.0,10,1
300,2,4,321,244.2,5.114684741017769,76.80000000000001,10,1
300,2,5,80,50.4,4.779121258139408,29.6,10,1
200,5,2,1267,1148.6,28.68518781531681,118.40000000000008,10,1
200,5,3,946,811.8,21.880585001320235,134.20000000000005,10,1
200,5,4,469,372.1,14.48758088847134,96.89999999999998,10,1
200,5,5,170,112.8,6.675327707311455,57.2,10,1
500,1,2,1194,1127.0,31.65754254518187,67.0,10,1
500,1,3,766,683.9,28.84943673626922,82.10000000000002,10,1
500,1,4,290,217.7,14.241137595009748,72.30000000000001,10,1
500,1,5,81,47.6,5.5533773507659285,33.4,10,1
300,3,2,1284,1210.6,24.964775184247102,73.40000000000009,10,1
300,3,3,947,848.5,23.597669376444784,98.5,10,1
300,3,4,462,365.3,14.649573372627612,96.7,10,1
300,3,5,146,102.9,5.356304696336832,43.1,10,1
400,2,2,1270,1156.0,37.403208418530085,114.0,10,1
400,2,3,924,797.1,31.18156506655816,126.89999999999998,10,1
400,2,4,417,316.2,16.34502982560754,100.8,10,1
400,2,5,116,86.3,8.210359310042405,29.700000000000003,10,1
600,1,2,1165,1101.9,40.42140522050168,63.09999999999991,10,1
600,1,3,796,729.8,33.97587379303143,66.20000000000005,10,1
600,1,4,333,244.3,13.535508856337836,88.69999999999999,10,1
600,1,5,88,57.7,6.603786792439623,30.3,10,1
300,5,2,1269,1165.3,26.55579032904124,103.70000000000005,10,1
300,5,3,1047,937.9,23.18383057218975,109.10000000000002,10,1
300,5,4,622,529.7,16.745447142432475,92.29999999999995,10,1
300,5,5,256,203.3,5.177837386399848,52.69999999999999,10,1
400,3,2,1245,1153.1,20.072119967756272,91.90000000000008,10,1
400,3,3,995,905.6,17.165080832900262,89.39999999999998,10,1
400,3,4,562,451.6,18.122913673027305,110.39999999999998,10,1
400,3,5,203,148.2,11.178550889985695,54.80000000000001,10,1
500,2,2,1241,1140.8,23.181026724457222,100.20000000000005,10,1
500,2,3,975,864.1,14.229898102235309,110.89999999999998,10,1
500,2,4,474,384.2,13.934130758680285,89.80000000000001,10,1
500,2,5,140,116.7,3.874274125562104,23.3,10,1
600,2,2,1151,1099.5,24.86463351831271,51.5,10,1
600,2,3,950,880.1,22.491998577271875,69.89999999999998,10,1
600,2,4,487,435.3,23.33259522642091,51.69999999999999,10,1
600,2,5,178,140.5,8.476437931112336,37.5,10,1
500,3,2,1169,1130.6,10.258654882585729,38.40000000000009,10,1
500,3,3,982,951.3,9.3706990134141,30.700000000000045,10,1
500,3,4,594,525.7,13.667845477616432,68.29999999999995,10,1
500,3,5,224,191.9,11.44071676076285,32.099999999999994,10,1
400,5,2,1170,1081.1,29.23850201361212,88.90000000000009,10,1
400,5,3,1038,947.0,29.48558970073348,91.0,10,1
400,5,4,709,612.6,25.108564275959708,96.39999999999998,10,1
400,5,5,338,267.0,17.74823934929885,71.0,10,1
600,3,2,1105,1049.3,34.260910670908906,55.700000000000045,10,1
600,3,3,968,916.7,31.562794553081005,51.29999999999996,10,1
600,3,4,629,555.6,22.050850323740352,73.39999999999998,10,1
600,3,5,267,219.5,8.090117428072352,47.5,10,1
500,5,2,1104,1005.8,33.74848144731848,98.20000000000005,10,1
500,5,3,1017,917.9,30.680449801135577,99.10000000000002,10,1
500,5,4,756,654.0,31.6322620120661,102.0,10,1
500,5,5,388,321.1,14.446106741956465,66.89999999999998,10,1
200,1,2,1081,1003.3,11.75627492022877,77.70000000000005,10,2
200,1,3,415,319.3,8.854942122905152,95.7,10,2
200,1,4,118,65.5,7.5398938984577235,52.5,10,2
200,1,5,16,6.5,2.01246117974981,9.5,10,2
200,2,2,1165,1080.2,20.492925608609426,84.79999999999995,10,2
200,2,3,615,507.6,13.410443691392167,107.39999999999998,10,2
200,2,4,195,146.5,11.029505881951376,48.5,10,2
200,2,5,40,24.8,3.54400902933387,15.2,10,2
300,1,2,1175,1114.0,22.86482013924448,61.0,10,2
300,1,3,585,495.2,15.52932709424333,89.80000000000001,10,2
300,1,4,170,124.5,10.042410069301091,45.5,10,2
300,1,5,33,19.6,3.954743986657038,13.4,10,2
200,3,2,1255,1151.9,25.017793667707792,103.09999999999992,10,2
200,3,3,768,666.7,17.944637081869335,101.29999999999995,10,2
200,3,4,317,236.9,8.129575634681062,80.1,10,2
200,3,5,75,45.0,5.366563145999495,30.0,10,2
400,1,2,1217,1091.1,21.75982536694631,125.90000000000008,10,2
400,1,3,704,589.7,11.532996141506334,114.29999999999995,10,2
400,1,4,217,158.6,7.227724399837061,58.400000000000006,10,2
400,1,5,44,33.7,2.72213151776324,10.299999999999995,10,2
300,2,2,1279,1163.1,21.593749095513733,115.90000000000008,10,2
300,2,3,819,705.5,21.219095173922945,113.5,10,2
300,2,4,325,251.4,16.73439571660716,73.6,10,2
300,2,5,85,55.1,6.685057965343307,29.9,10,2
200,5,2,1270,1148.5,16.032778923193572,121.5,10,2
200,5,3,949,800.9,11.291146974510603,148.10000000000002,10,2
200,5,4,493,370.1,14.942891286494724,122.89999999999998,10,2
200,5,5,190,120.4,7.102112361825882,69.6,10,2
500,1,2,1183,1132.7,32.298761586166115,50.29999999999996,10,2
500,1,3,771,685.5,18.586285266292453,85.5,10,2
500,1,4,268,221.6,13.566134305689296,46.400000000000006,10,2
500,1,5,59,45.8,6.04648658313239,13.200000000000005,10,2
300,3,2,1300,1200.0,14.092551223962252,100.0,10,2
300,3,3,969,853.9,17.518276170902205,115.10000000000002,10,2
300,3,4,462,362.6,12.001666550942,99.39999999999998,10,2
300,3,5,137,103.9,7.147726911403372,33.099999999999994,10,2
400,2,2,1203,1132.1,25.870639729237467,70.90000000000009,10,2
400,2,3,861,788.6,27.08209740769721,72.39999999999998,10,2
400,2,4,402,326.7,7.810889834071404,75.30000000000001,10,2
400,2,5,105,88.5,7.18679344353238,16.5,10,2
600,1,2,1105,1092.4,30.47359512758545,12.599999999999907,10,2
600,1,3,750,734.9,21.11137134342532,15.100000000000025,10,2
600,1,4,287,261.2,12.851459061133877,25.80000000000001,10,2
600,1,5,68,60.3,6.403905058634146,7.700000000000003,10,2
300,5,2,1264,1134.3,30.318476215007905,129.70000000000005,10,2
300,5,3,1090,923.8,26.82088738278433,166.20000000000005,10,2
300,5,4,658,534.9,17.874283202411224,123.10000000000002,10,2
300,5,5,295,208.5,10.471389592599447,86.5,10,2
400,3,2,1256,1151.3,19.45276329985023,104.70000000000005,10,2
400,3,3,1016,914.6,18.14497175528251,101.39999999999998,10,2
400,3,4,540,466.3,11.445959985951376,73.69999999999999,10,2
400,3,5,176,153.7,7.759510293826538,22.30000000000001,10,2
500,2,2,1159,1131.5,21.83689538373072,27.5,10,2
500,2,3,931,869.5,12.737739202856996,61.5,10,2
500,2,4,493,406.2,12.188519188154071,86.80000000000001,10,2
500,2,5,141,116.5,9.457801012920498,24.5,10,2
600,2,2,1121,1098.4,33.70519247831111,22.59999999999991,10,2
600,2,3,947,896.0,27.48454110950372,51.0,10,2
600,2,4,545,466.5,21.406774628607646,78.5,10,2
600,2,5,180,148.4,12.713772060250252,31.599999999999994,10,2
500,3,2,1195,1110.7,20.57206844242941,84.29999999999995,10,2
500,3,3,1036,934.2,15.860643114325471,101.79999999999995,10,2
500,3,4,620,532.1,17.7451401797788,87.89999999999998,10,2
500,3,5,247,195.4,11.092339699089637,51.6,10,2
400,5,2,1195,1083.7,26.540723426462964,111.29999999999995,10,2
400,5,3,1068,953.3,22.59668117224297,114.70000000000005,10,2
400,5,4,719,628.8,16.29601178202814,90.20000000000005,10,2
400,5,5,382,286.3,13.943098651304163,95.7,10,2
600,3,2,1052,1058.8,29.46794869005985,-6.7999999999999545,10,2
600,3,3,949,937.4,22.068982758613952,11.600000000000025,10,2
600,3,4,623,584.8,28.396478654931844,38.200000000000045,10,2
600,3,5,283,232.6,14.319217855735,50.400000000000006,10,2
500,5,2,1114,1031.6,25.024787711387283,82.40000000000009,10,2
500,5,3,1028,954.0,19.411336893681487,74.0,10,2
500,5,4,755,683.5,17.066048165876012,71.5,10,2
500,5,5,439,346.5,12.901550294441362,92.5,10,2
200,10,2,1189,1110.1,21.25770448566825,78.90000000000009,10,1
200,10,3,995,924.5,18.586285266292453,70.5,10,1
200,10,4,617,571.0,16.739175606940744,46.0,10,1
200,10,5,276,237.4,8.42852300228219,38.599999999999994,10,1
300,10,2,1120,1042.0,28.576213884977836,78.0,10,1
