radio_m,ventana_min,min_dias,observados,azar,azar_std,exceso,n_repeticiones,precision,recall,f1,aciertos,predichos,verdaderos
200,1,2,11755,10688.6,25.535073918044567,1066.3999999999996,10,0.9969374734155678,0.5784304047384008,0.7320943307824458,11719,11755,20260
200,1,3,10368,9498.4,26.26480534860291,869.6000000000004,10,0.9972993827160493,0.510365251727542,0.6751991641635106,10340,10368,20260
200,1,4,8857,8153.4,22.55748212899658,703.6000000000004,10,0.9977418990628881,0.4361796643632774,0.6069993474602466,8837,8857,20260
200,1,5,7310,6734.3,20.876062847194152,575.6999999999998,10,0.9976744186046511,0.3599703849950642,0.5290533188248095,7293,7310,20260
200,2,2,11567,10551.4,33.73188402683728,1015.6000000000004,10,0.9969741506008473,0.5692003948667325,0.7246677349420303,11532,11567,20260
200,2,3,10306,9472.2,26.213736856846637,833.7999999999993,10,0.9968950126140113,0.5071076011846002,0.6722502126545835,10274,10306,20260
200,2,4,8829,8149.3,20.78966089189528,679.6999999999998,10,0.9970551591346698,0.4345014807502468,0.6052459692667331,8803,8829,20260
200,2,5,7225,6699.2,24.766105870725823,525.8000000000002,10,0.9970934256055364,0.35557749259624877,0.5242132072039295,7204,7225,20260
300,1,2,11292,10181.6,24.079867109267855,1110.3999999999996,10,0.9966347856889833,0.5554787759131293,0.7133620689655172,11254,11292,20260
300,1,3,10031,9136.1,20.973554777385736,894.8999999999996,10,0.9970092712590968,0.4936327739387957,0.6603281502756595,10001,10031,20260
300,1,4,8665,7955.6,23.618636709175235,709.3999999999996,10,0.9971148297749567,0.42645607107601186,0.5974070872947277,8640,8665,20260
300,1,5,7242,6687.5,18.233211456021674,554.5,10,0.9969621651477493,0.35636722606120436,0.5250527234382953,7220,7242,20260
200,3,2,11385,10405.4,32.490614029285446,979.6000000000004,10,0.9962231005709267,0.559822309970385,0.7168273028914519,11342,11385,20260
200,3,3,10238,9410.1,25.532136612512478,827.8999999999996,10,0.9961906622387185,0.503405725567621,0.6688307429995412,10199,10238,20260
200,3,4,8773,8111.1,24.885537968868583,661.8999999999996,10,0.996580417189103,0.4315399802566634,0.6022801639513657,8743,8773,20260
200,3,5,7170,6649.1,19.075901027212318,520.8999999999996,10,0.9966527196652719,0.3527147087857848,0.5210353627415238,7146,7170,20260
400,1,2,10676,9587.6,32.06618156251224,1088.3999999999996,10,0.9962532783814163,0.5249753208292202,0.6876131367985518,10636,10676,20260
400,1,3,9514,8640.1,22.277567192132988,873.8999999999996,10,0.9966365356317006,0.4680157946692991,0.6369315510176664,9482,9514,20260
400,1,4,8288,7612.1,19.521526579650477,675.8999999999996,10,0.9965009652509652,0.4076505429417572,0.578604455653636,8259,8288,20260
400,1,5,6990,6460.3,22.974115869821848,529.6999999999998,10,0.996137339055794,0.3436821322803554,0.511045871559633,6963,6990,20260
300,2,2,11020,9996.9,16.53148511174964,1023.1000000000004,10,0.9961887477313974,0.5418558736426456,0.7019181585677748,10978,11020,20260
300,2,3,9909,9060.6,18.53752950098799,848.3999999999996,10,0.9961651024321324,0.4872161895360316,0.6543803241738209,9871,9909,20260
300,2,4,8579,7891.7,19.975234666956982,687.3000000000002,10,0.9961533978319151,0.4218163869693978,0.592669648739554,8546,8579,20260
300,2,5,7111,6590.1,15.67450158697239,520.8999999999996,10,0.9960624384756012,0.34960513326752224,0.5175550765408644,7083,7111,20260
200,5,2,11038,10225.7,28.499298236974184,812.2999999999993,10,0.9962855589780757,0.5427936821322804,0.702728608856796,10997,11038,20260
200,5,3,10038,9342.6,20.924626639440906,695.3999999999996,10,0.9961147638971907,0.49353405725567623,0.6600435672321605,9999,10038,20260
200,5,4,8655,8089.3,25.68287367098939,565.6999999999998,10,0.9961871750433275,0.4255676209279368,0.596368666781947,8622,8655,20260
200,5,5,7094,6634.8,16.092234151913154,459.1999999999998,10,0.9960530025373555,0.3487660414610069,0.5166337647144842,7066,7094,20260
500,1,2,10084,8987.8,17.010584939971935,1096.2000000000007,10,0.9967274890916303,0.49610069101678184,0.6624703401001846,10051,10084,20260
500,1,3,9049,8169.2,14.749915253993835,879.8000000000002,10,0.9969057354403802,0.44526159921026653,0.6155788324405472,9021,9049,20260
500,1,4,7872,7210.8,24.522642598219303,661.1999999999998,10,0.9968241869918699,0.38731490621915104,0.5578700412341817,7847,7872,20260
500,1,5,6672,6148.5,16.163229875244614,523.5,10,0.9967026378896883,0.3282329713721619,0.49383632853111536,6650,6672,20260
300,3,2,10800,9812.8,25.16267076444788,987.2000000000007,10,0.995462962962963,0.5306515301085883,0.692273019961365,10751,10800,20260
300,3,3,9804,8970.7,27.568278872646363,833.2999999999993,10,0.9956140350877193,0.481786771964462,0.6493480574773816,9761,9804,20260
300,3,4,8512,7833.5,18.943336559328717,678.5,10,0.9956531954887218,0.41831194471865746,0.5891144167941054,8475,8512,20260
300,3,5,7063,6539.6,18.842505141302205,523.3999999999996,10,0.995752513096418,0.347137216189536,0.5148043772645756,7033,7063,20260
400,2,2,10366,9302.7,20.61577066228668,1063.2999999999993,10,0.996044761721011,0.5096248766041461,0.674263697511918,10325,10366,20260
400,2,3,9379,8503.2,14.2884568795934,875.7999999999993,10,0.9958417741763514,0.46100691016781836,0.6302506832214313,9340,9379,20260
400,2,4,8175,7488.7,13.704378862246914,686.3000000000002,10,0.9957186544342508,0.40177690029615004,0.5725338491295938,8140,8175,20260
400,2,5,6839,6312.5,14.954932296737422,526.5,10,0.9954671735633864,0.3360315893385982,0.5024539650909627,6808,6839,20260
600,1,2,9444,8317.0,25.075884829851965,1127.0,10,0.9970351545955104,0.46475814412635735,0.6339886883921357,9416,9444,20260
600,1,3,8506,7584.0,24.095642759636025,922.0,10,0.9969433341170938,0.4185587364264561,0.5895849266495168,8480,8506,20260
600,1,4,7430,6731.3,24.029357045081337,698.6999999999998,10,0.9969044414535666,0.36559723593287263,0.5349945828819067,7407,7430,20260
600,1,5,6317,5762.3,20.322647465327936,554.6999999999998,10,0.9966756371695425,0.3107601184600197,0.4737931293975994,6296,6317,20260
300,5,2,10350,9531.0,27.66947776883402,819.0,10,0.9959420289855072,0.5087857847976308,0.6735053903952957,10308,10350,20260
300,5,3,9528,8816.2,23.344378338263795,711.7999999999993,10,0.9958018471872376,0.46831194471865745,0.6370350476702028,9488,9528,20260
300,5,4,8318,7754.4,21.37381575666825,563.6000000000004,10,0.9957922577542678,0.4088351431391905,0.5796766743648961,8283,8318,20260
