radio_m,ventana_min,min_dias,observados,azar,azar_std,exceso,n_repeticiones,precision,recall,f1,aciertos,predichos,verdaderos
200,1,2,479,490.8,15.759441614473527,-11.800000000000011,10,0.04384133611691023,0.0035,0.00648248186448526,21,479,6000
200,1,3,0,0.6,0.66332495807108,-0.6,10,,0.0,0.0,0,0,6000
200,1,4,0,0.0,0.0,0.0,10,,0.0,0.0,0,0,6000
200,1,5,0,0.0,0.0,0.0,10,,0.0,0.0,0,0,6000
200,2,2,895,961.4,31.353468707624682,-66.39999999999998,10,0.0446927374301676,0.006666666666666667,0.011602610587382161,40,895,6000
200,2,3,15,5.2,1.469693845669907,9.8,10,0.3333333333333333,0.0008333333333333334,0.0016625103906899418,5,15,6000
200,2,4,1,0.0,0.0,1.0,10,1.0,0.00016666666666666666,0.00033327778703549406,1,1,6000
200,2,5,0,0.0,0.0,0.0,10,,0.0,0.0,0,0,6000
300,1,2,1091,1111.8,29.071635660898064,-20.799999999999955,10,0.02841429880843263,0.005166666666666667,0.008743477647722465,31,1091,6000
300,1,3,9,8.2,2.2715633383201093,0.8000000000000007,10,0.3333333333333333,0.0005,0.000998502246630055,3,9,6000
300,1,4,0,0.1,0.30000000000000004,-0.1,10,,0.0,0.0,0,0,6000
300,1,5,0,0.0,0.0,0.0,10,,0.0,0.0,0,0,6000
200,3,2,1018,1012.3,19.39613363534083,5.7000000000000455,10,0.043222003929273084,0.007333333333333333,0.012539184952978056,44,1018,6000
200,3,3,29,17.1,5.08822169328342,11.899999999999999,10,0.3103448275862069,0.0015,0.0029855697462265714,9,29,6000
200,3,4,1,0.3,0.45825756949558394,0.7,10,1.0,0.00016666666666666666,0.00033327778703549406,1,1,6000
200,3,5,0,0.0,0.0,0.0,10,,0.0,0.0,0,0,6000
400,1,2,935,980.4,22.769277546729494,-45.39999999999998,10,0.025668449197860963,0.004,0.00692141312184571,24,935,6000
400,1,3,47,35.4,2.6907248094147422,11.600000000000001,10,0.2127659574468085,0.0016666666666666668,0.00330742516950554,10,47,6000
400,1,4,0,0.0,0.0,0.0,10,,0.0,0.0,0,0,6000
400,1,5,0,0.0,0.0,0.0,10,,0.0,0.0,0,0,6000
300,2,2,858,816.2,24.2932089275995,41.799999999999955,10,0.05128205128205128,0.007333333333333333,0.01283172936716244,44,858,6000
300,2,3,89,49.2,4.019950248448356,39.8,10,0.24719101123595505,0.0036666666666666666,0.007226145508293644,22,89,6000
300,2,4,2,0.1,0.30000000000000004,1.9,10,0.5,0.00016666666666666666,0.0003332222592469177,1,2,6000
300,2,5,0,0.0,0.0,0.0,10,,0.0,0.0,0,0,6000
200,5,2,722,696.3,32.332800682897854,25.700000000000045,10,0.06786703601108034,0.008166666666666666,0.014578994346920558,49,722,6000
200,5,3,90,67.3,4.517742799230607,22.700000000000003,10,0.37777777777777777,0.005666666666666667,0.01116584564860427,34,90,6000
200,5,4,5,0.4,0.66332495807108,4.6,10,1.0,0.0008333333333333334,0.0016652789342214824,5,5,6000
200,5,5,0,0.0,0.0,0.0,10,,0.0,0.0,0,0,6000
500,1,2,521,547.7,11.1,-26.700000000000045,10,0.030710172744721688,0.0026666666666666666,0.004907222818586107,16,521,6000
500,1,3,141,115.5,8.452810183601665,25.5,10,0.09929078014184398,0.0023333333333333335,0.004559517993812083,14,141,6000
500,1,4,1,0.9,0.9433981132056605,0.09999999999999998,10,1.0,0.00016666666666666666,0.00033327778703549406,1,1,6000
500,1,5,0,0.0,0.0,0.0,10,,0.0,0.0,0,0,6000
300,3,2,517,472.1,13.486660075793413,44.89999999999998,10,0.1102514506769826,0.0095,0.01749271137026239,57,517,6000
300,3,3,196,138.6,7.158212067269312,57.400000000000006,10,0.24489795918367346,0.008,0.015493867010974821,48,196,6000
300,3,4,4,0.7,0.8999999999999999,3.3,10,0.25,0.00016666666666666666,0.00033311125916055963,1,4,6000
300,3,5,0,0.0,0.0,0.0,10,,0.0,0.0,0,0,6000
400,2,2,447,410.1,13.64148085803004,36.89999999999998,10,0.07606263982102908,0.005666666666666667,0.0105475414921669,34,447,6000
400,2,3,239,211.4,12.85457117137713,27.599999999999994,10,0.12552301255230125,0.005,0.009616925789389325,30,239,6000
400,2,4,5,1.8,1.0770329614269007,3.2,10,0.6,0.0005,0.0009991673605328894,3,5,6000
400,2,5,0,0.0,0.0,0.0,10,,0.0,0.0,0,0,6000
600,1,2,429,393.3,16.192899678562824,35.69999999999999,10,0.037296037296037296,0.0026666666666666666,0.004977445948047908,16,429,6000
600,1,3,295,258.0,12.0,37.0,10,0.05423728813559322,0.0026666666666666666,0.0050833995234312946,16,295,6000
600,1,4,2,1.8,1.469693845669907,0.19999999999999996,10,0.5,0.00016666666666666666,0.0003332222592469177,1,2,6000
600,1,5,0,0.0,0.0,0.0,10,,0.0,0.0,0,0,6000
300,5,2,516,458.7,20.871272122225804,57.30000000000001,10,0.15503875968992248,0.013333333333333334,0.02455494168201351,80,516,6000
300,5,3,464,408.8,22.417850030723287,55.19999999999999,10,0.17025862068965517,0.013166666666666667,0.024443069306930697,79,464,6000
300,5,4,23,5.3,2.794637722496424,17.7,10,0.7391304347826086,0.0028333333333333335,0.005645027394985887,17,23,6000
300,5,5,1,0.0,0.0,1.0,10,1.0,0.00016666666666666666,0.00033327778703549406,1,1,6000
400,3,2,540,509.2,23.63387399475592,30.80000000000001,10,0.13333333333333333,0.012,0.022018348623853212,72,540,6000
400,3,3,511,472.5,22.36626924634504,38.5,10,0.14090019569471623,0.012,0.022116418368914145,72,511,6000
400,3,4,14,7.5,2.7294688127912363,6.5,10,0.5,0.0011666666666666668,0.0023279015630196212,7,14,6000
400,3,5,0,0.0,0.0,0.0,10,,0.0,0.0,0,0,6000
500,2,2,560,527.8,28.052807346146302,32.200000000000045,10,0.08035714285714286,0.0075,0.013719512195121953,45,560,6000
500,2,3,535,496.6,27.452504439486027,38.39999999999998,10,0.08037383177570094,0.007166666666666667,0.013159908186687068,43,535,6000
500,2,4,11,6.3,1.7916472867168918,4.7,10,0.36363636363636365,0.0006666666666666666,0.0013308933621693562,4,11,6000
500,2,5,0,0.1,0.30000000000000004,-0.1,10,,0.0,0.0,0,0,6000
600,2,2,773,779.1,20.230916934237065,-6.100000000000023,10,0.047865459249676584,0.006166666666666667,0.010925734534179832,37,773,6000
600,2,3,769,774.4,18.83188785013335,-5.399999999999977,10,0.04811443433029909,0.006166666666666667,0.010932190870143299,37,769,6000
600,2,4,33,25.3,4.495553358597804,7.699999999999999,10,0.24242424242424243,0.0013333333333333333,0.0026520802254268194,8,33,6000
600,2,5,0,0.2,0.4000000000000001,-0.2,10,,0.0,0.0,0,0,6000
500,3,2,808,799.6,19.043108989868223,8.399999999999977,10,0.0853960396039604,0.0115,0.02027027027027027,69,808,6000
500,3,3,804,794.5,21.091467469097545,9.5,10,0.08582089552238806,0.0115,0.020282186948853614,69,804,6000
500,3,4,46,31.6,6.945502141674135,14.399999999999999,10,0.34782608695652173,0.0026666666666666666,0.005292755540853457,16,46,6000
500,3,5,0,0.4,0.48989794855663565,-0.4,10,,0.0,0.0,0,0,6000
400,5,2,824,785.9,30.09468391593439,38.10000000000002,10,0.12378640776699029,0.017,0.029894490035169988,102,824,6000
400,5,3,822,782.7,30.407400415030548,39.299999999999955,10,0.12408759124087591,0.017,0.029903254177660515,102,822,6000
400,5,4,67,40.0,4.47213595499958,27.0,10,0.5522388059701493,0.006166666666666667,0.012197132025712874,37,67,6000
400,5,5,2,0.5,0.5,1.5,10,1.0,0.0003333333333333333,0.0006664445184938354,2,2,6000
600,3,2,785,790.3,25.725668115716644,-5.2999999999999545,10,0.05987261146496815,0.007833333333333333,0.013854089904200442,47,785,6000
600,3,3,785,790.0,25.899806949087477,-5.0,10,0.05987261146496815,0.007833333333333333,0.013854089904200442,47,785,6000
600,3,4,119,96.3,11.30530848760882,22.700000000000003,10,0.17647058823529413,0.0035,0.006863866644876614,21,119,6000
600,3,5,1,1.4,1.3564659966250538,-0.3999999999999999,10,1.0,0.00016666666666666666,0.00033327778703549406,1,1,6000
500,5,2,658,678.6,20.460694025374604,-20.600000000000023,10,0.1094224924012158,0.012,0.021628116551516974,72,658,6000
500,5,3,658,678.4,20.543612145871524,-20.399999999999977,10,0.1094224924012158,0.012,0.021628116551516974,72,658,6000
500,5,4,189,152.1,6.920260110718382,36.900000000000006,10,0.2698412698412698,0.0085,0.016480853126514785,51,189,6000
500,5,5,8,3.1,1.8681541692269403,4.9,10,0.5,0.0006666666666666666,0.0013315579227696404,4,8,6000
600,5,2,559,564.8,19.50282030886815,-5.7999999999999545,10,0.09838998211091235,0.009166666666666667,0.01677084921481933,55,559,6000
600,5,3,559,564.8,19.50282030886815,-5.7999999999999545,10,0.09838998211091235,0.009166666666666667,0.01677084921481933,55,559,6000
600,5,4,374,354.1,17.64341236836004,19.899999999999977,10,0.12834224598930483,0.008,0.015061186068402888,48,374,6000
600,5,5,17,11.3,3.348133808556641,5.699999999999999,10,0.29411764705882354,0.0008333333333333334,0.001661957786272229,5,17,6000
